Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Hamming Distance,Inv. Hamming Distance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2
GON_066,100,0.018278452,0.187614994,9,0.365451562,0.444444444,0.555555556,FGF9;CBX2;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;UGR;PGD2;GATA4;WNT4;NR0B1,WT1mKTS;DKK1;AMH;RSPO1;FOXL2;CTNNB1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_067,100,0.040359671,0.35944696,7,0.609645545,0.277777778,0.722222222,FGF9;WT1mKTS;NR5A1;UGR;AMH;PGD2;CTNNB1;NR0B1,CBX2;SRY;WT1pKTS;SOX9;DMRT1;DKK1;GATA4;RSPO1;FOXL2;WNT4,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_068,100,0.024856935,0.180519501,8,0.295820971,0.555555556,0.444444444,FGF9;CBX2;SRY;WT1pKTS;DMRT1;AMH;PGD2;GATA4,WT1mKTS;SOX9;NR5A1;DKK1;UGR;RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_069,100,0.051399408,0.199685761,9.333333333,0.338602265,0.722222222,0.277777778,FGF9;DMRT1;GATA4;FOXL2,CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;NR5A1;DKK1;UGR;AMH;PGD2;RSPO1;CTNNB1;WNT4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_070,100,0.037515368,0.21062577,8,0.435931962,0.277777778,0.722222222,FGF9;CBX2;SRY;SOX9;DMRT1;NR5A1;DKK1;PGD2;RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,WT1mKTS;WT1pKTS;UGR;AMH;GATA4,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_071,100,0.031786674,0.208092246,8,0.402306966,0.611111111,0.388888889,FGF9;WT1mKTS;SRY;SOX9;NR5A1;DKK1;UGR;AMH;PGD2;GATA4;RSPO1;FOXL2;CTNNB1;WNT4,CBX2;WT1pKTS;DMRT1;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_072,100,0.029583335,0.247602337,9,0.547745883,0.388888889,0.611111111,FGF9;SRY;WT1pKTS;NR5A1;UGR;AMH;PGD2;GATA4;RSPO1;CTNNB1;WNT4,CBX2;WT1mKTS;SOX9;DMRT1;DKK1;FOXL2;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_073,100,0.024400599,0.381339942,6,0.561033582,0.5,0.5,FGF9;SRY;WT1pKTS;SOX9;NR5A1;AMH;FOXL2;CTNNB1,CBX2;WT1mKTS;DMRT1;DKK1;UGR;PGD2;GATA4;RSPO1;WNT4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_074,100,0.029664783,0.236505162,8,0.398426289,0.444444444,0.555555556,FGF9;SOX9;DKK1;AMH;RSPO1;CTNNB1;WNT4;NR0B1,CBX2;WT1mKTS;SRY;WT1pKTS;DMRT1;NR5A1;UGR;PGD2;GATA4;FOXL2,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_075,100,0.089163007,0.279196744,8,0.512272716,0.666666667,0.333333333,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;DMRT1;NR5A1;DKK1;UGR;PGD2;GATA4;RSPO1;WNT4;NR0B1,SOX9;AMH;FOXL2;CTNNB1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
