Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Hamming Distance,Inv. Hamming Distance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2
EMT_0806,8,0.4088679777934859,0.7746761857939011,1,0.903835736201712,0.0,1.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0807,8,0.1301923152558981,0.5272062321718575,3,0.7207780196936913,0.0666666666666666,0.9333333333333332,FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0808,8,0.259503623099571,0.776264088033527,1,0.8994975764570018,0.0,1.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0809,8,0.4987306929967024,0.7860113031906488,1,0.9320716947488498,0.0,1.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_0810,8,0.2529689019361595,0.557186449818999,3,0.7933998148828044,0.1333333333333333,0.8666666666666667,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1201,12,0.1968389773305477,0.6233541390281206,2,0.8105911929432333,0.1333333333333333,0.8666666666666667,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1202,12,0.0260464339863883,0.3629223258382135,5,0.4545357649966511,0.3333333333333333,0.6666666666666666,TGFbeta;SNAI2;FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,TGFbeta;SNAI2;FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1203,12,0.1237435405328855,0.6534430770468521,3,0.8099386992969304,0.2666666666666666,0.7333333333333333,miR200a;miR200b;miR34a;miR141;miR101,miR200a;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1204,12,0.1130117687027299,0.4573324043438364,3,0.7936903702794131,0.8,0.2,TGFbeta;ZEB2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,TGFbeta;ZEB2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1205,12,0.1338946842846654,0.4072767583076429,4,0.6265298400898258,0.3333333333333333,0.6666666666666666,ZEB1;SNAI2;FOXC2,ZEB1;SNAI2;FOXC2,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1206,12,0.0629211392672699,0.3955484556897904,5,0.5064217313594108,0.5333333333333333,0.4666666666666667,SNAI1;TGFbeta;SNAI2;ZEB2;TWIST2,SNAI1;TGFbeta;SNAI2;ZEB2;TWIST2,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1207,12,0.1885850268893704,0.7377228277663108,2,0.7993396225722118,0.2,0.8,miR200a;miR200b;miR101,miR200a;miR200b;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1208,12,0.3696561105604017,0.7441619084509332,2,0.8665533404091338,0.0,1.0,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1209,12,0.1683606907394264,0.6136513949582837,3,0.822423848462519,0.1333333333333333,0.8666666666666667,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1210,12,0.0480676628970895,0.2094222129493088,5,0.6030849424863906,0.7333333333333333,0.2666666666666666,TGFbeta;miR200a;miR200c;miR200b;miR34a;miR141;miR101,TGFbeta;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
