Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
GON_87,10,0.185397136,0.449598818,5,0.705616213,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2,1,0
GON_88,10,0.078931733,0.337521782,7,0.505276577,RSPO1;NR0B1;CTNNB1,WNT4;FOXL2;PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,PGD2;SRY;DKK1;FGF9;AMH;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2;UGR;WT1pKTS,0.777777778,0.222222222
GON_89,10,0.094047061,0.45390919,5,0.6273659,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2;DMRT1,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;CBX2;NR5A1,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2;PGD2;UGR;SOX9,SRY;DKK1;FGF9;WT1pKTS;AMH;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,0.222222222,0.777777778
GON_90,10,0.228945386,0.442229935,4,0.640047303,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2,1,0
GON_91,10,0.123411875,0.433432113,4.666666667,0.687986391,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2;DMRT1,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;CBX2;NR5A1,SRY;DKK1;FGF9;AMH;SOX9;DMRT1;CBX2;NR5A1,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2;PGD2;UGR;WT1pKTS;GATA4;WT1mKTS,0.666666667,0.333333333
GON_92,10,0.131264933,0.501870004,5,0.753336279,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,FOXL2;PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,RSPO1;NR0B1;CTNNB1;WNT4;AMH,0.888888889,0.111111111
GON_93,10,0.19205747,0.497971939,4,0.716736226,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2;CBX2,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;DMRT1;NR5A1,UGR;SRY;DKK1;FGF9;AMH;SOX9;GATA4;DMRT1;CBX2;NR5A1,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2;PGD2;WT1pKTS;WT1mKTS,0.777777778,0.222222222
GON_94,10,0.051462786,0.421322992,6,0.623389995,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2;PGD2;UGR;SRY;WT1pKTS;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,DKK1;FGF9;AMH,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2,0.444444444,0.555555556
GON_95,10,0.240036296,0.507722346,4,0.788626842,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2;UGR;DKK1;GATA4,PGD2;SRY;FGF9;WT1pKTS;AMH;SOX9;WT1mKTS;DMRT1;CBX2;NR5A1,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2,0.833333333,0.166666667
GON_96,10,0.132886328,0.456837813,5,0.566246173,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2;FGF9,PGD2;UGR;SRY;DKK1;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;WT1mKTS;DMRT1;CBX2;NR5A1,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2;GATA4,0.888888889,0.111111111
GON_97,10,0.1888473,0.516759075,4,0.670089409,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2;WT1pKTS,PGD2;UGR;SRY;DKK1;FGF9;AMH;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2,0.944444444,0.055555556
GON_98,10,0.160485307,0.565589729,4,0.779113617,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2;AMH,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,0.055555556,0.944444444
GON_99,10,0.07339186,0.28407822,6,0.477055439,RSPO1;NR0B1;CTNNB1;WNT4;UGR;SRY;WT1pKTS;AMH;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,FOXL2;PGD2;DKK1;FGF9;SOX9,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;DMRT1;CBX2;NR5A1,0.555555556,0.444444444
GON_100,10,0.76533801,0.559052814,1,0.960294508,RSPO1;NR0B1;CTNNB1;WNT4;UGR;SRY;DKK1;FGF9;AMH;SOX9;GATA4;WT1mKTS;CBX2;NR5A1,FOXL2;PGD2;WT1pKTS;DMRT1,RSPO1;NR0B1;CTNNB1;WNT4;FOXL2;CBX2,PGD2;UGR;SRY;DKK1;FGF9;WT1pKTS;AMH;SOX9;GATA4;WT1mKTS;DMRT1;NR5A1,0.555555556,0.444444444
