Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
GON_91_35,10,0.164579699,0.46354465,4,0.695530264,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1;NR0B1,FOXL2;WNT4;RSPO1;CTNNB1,DKK1;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,PGD2;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,0.111111111,0.888888889
GON_91_36,10,0.133174486,0.365333081,5,0.587541788,DKK1;PGD2;FGF9;CBX2;AMH;SOX9;DMRT1,WT1mKTS;SRY;WT1pKTS;UGR;NR5A1;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,WT1mKTS;SRY;UGR;FOXL2;WNT4;CTNNB1;NR0B1,DKK1;PGD2;WT1pKTS;FGF9;CBX2;NR5A1;AMH;SOX9;GATA4;DMRT1;RSPO1,0.777777778,0.222222222
GON_91_37,10,0.038531695,0.205039577,8,0.40560997,DKK1;PGD2;FGF9;NR5A1;AMH;SOX9;DMRT1,WT1mKTS;SRY;WT1pKTS;CBX2;UGR;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;WT1mKTS;SRY;FGF9;FOXL2;SOX9;GATA4;DMRT1;WNT4;CTNNB1;NR0B1,PGD2;WT1pKTS;CBX2;UGR;NR5A1;AMH;RSPO1,0.555555556,0.444444444
GON_91_38,10,0.073554512,0.229273337,6,0.505088884,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;CBX2;UGR;NR5A1;FOXL2;RSPO1;CTNNB1,FGF9;AMH;SOX9;GATA4;DMRT1;WNT4;NR0B1,PGD2;WT1mKTS;SRY;WT1pKTS;CBX2;NR5A1;FOXL2;GATA4;DMRT1;WNT4;CTNNB1,DKK1;FGF9;UGR;AMH;SOX9;RSPO1;NR0B1,0.333333333,0.666666667
GON_91_39,10,0.097714513,0.448398646,6,0.663641413,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,PGD2;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,0.055555556,0.944444444
GON_91_04,10,0.139795613,0.528757363,4,0.754361996,DKK1;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;FOXL2;SOX9;GATA4,PGD2;DMRT1;WNT4;RSPO1;CTNNB1;NR0B1,PGD2;FGF9;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;WT1mKTS;SRY;WT1pKTS;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,0.833333333,0.166666667
GON_91_40,10,0.138655077,0.44217999,6,0.603286443,DKK1;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;SOX9;GATA4;DMRT1;RSPO1,PGD2;AMH;FOXL2;WNT4;CTNNB1;NR0B1,PGD2;SRY;WT1pKTS;CBX2;UGR;NR5A1;AMH;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;WT1mKTS;FGF9;SOX9;DMRT1,0.611111111,0.388888889
GON_91_41,10,0.102712845,0.438790656,7,0.610473293,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1;CTNNB1;NR0B1,FOXL2;WNT4;RSPO1,DKK1;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;DMRT1,PGD2;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,0.222222222,0.777777778
GON_91_42,10,0.058076531,0.386482108,6,0.639828739,DKK1;PGD2;FGF9;SOX9;DMRT1,WT1mKTS;SRY;WT1pKTS;CBX2;UGR;NR5A1;AMH;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,PGD2;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,0.5,0.5
GON_91_43,10,0.163164392,0.505287147,5,0.670119667,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,PGD2;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,0.055555556,0.944444444
GON_91_44,10,0.070960485,0.318606658,7,0.562276595,DKK1;FOXL2;RSPO1;CTNNB1;NR0B1,PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1;WNT4,DKK1;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;NR5A1;AMH;SOX9;GATA4;DMRT1;RSPO1,PGD2;UGR;FOXL2;WNT4;CTNNB1;NR0B1,0.722222222,0.277777778
