Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
15R100_04,100,0.026573462,0.192743615,17,0.35425503,BHLHE40;REST;SMAD3;ZEB1;TEAD4;CEBPD;NEUROD1;KLF4;MYC;MITF;NFKB1;SOX11;TCF7L2;ATF2;PBX1;FLI1,INSM1;PAX5;TCF3;SOX2;FOXA2;ASCL1;ETS2;FOXA1;LEF1;ELF3;KDM5B;MYB;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,ZEB1;NEUROD1;INSM1;PAX5;SOX11;TCF3;ATF2;FOXA2;ASCL1;ETS2;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;REST;SMAD3;TEAD4;CEBPD;KLF4;MYC;MITF;NFKB1;TCF7L2;SOX2;PBX1,0.818181818,0.181818182
15R100_05,100,0.024380997,0.157564396,19.66666667,0.30513075,BHLHE40;REST;ZEB1;TEAD4;MYC;MITF;NFKB1;FOXA1;ELF3,SMAD3;CEBPD;NEUROD1;KLF4;INSM1;PAX5;SOX11;TCF3;TCF7L2;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;LEF1;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,INSM1;MITF;PAX5;SOX11;TCF7L2;ATF2;SOX2;ASCL1;PBX1;LEF1;ELF3;KDM5B;FLI1;TCF12;CBFA2T2;TCF4,BHLHE40;REST;SMAD3;ZEB1;TEAD4;CEBPD;NEUROD1;KLF4;MYC;NFKB1;TCF3;FOXA2;ETS2;FOXA1;MYB;POU3F2;OVOL2,0.636363636,0.363636364
15R100_06,100,0.024976614,0.144548111,21,0.227394179,BHLHE40;REST;SMAD3;ZEB1;TEAD4;NEUROD1;MYC;MITF;PAX5;NFKB1;SOX11;TCF3;TCF7L2;ELF3,CEBPD;KLF4;INSM1;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,REST;ZEB1;NEUROD1;KLF4;PAX5;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;SMAD3;TEAD4;CEBPD;MYC;INSM1;MITF;NFKB1;SOX11;TCF7L2,0.757575758,0.242424242
15R100_07,100,0.026126937,0.074959121,21,0.225009725,BHLHE40;REST;SMAD3;ZEB1;TEAD4;NEUROD1;KLF4;MYC;INSM1;MITF;NFKB1;TCF7L2;ATF2;KDM5B;TCF12;OVOL2,CEBPD;PAX5;SOX11;TCF3;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;MYB;FLI1;POU3F2;CBFA2T2;TCF4,REST;KLF4;MYC;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;SMAD3;ZEB1;TEAD4;CEBPD;NEUROD1;INSM1;MITF;NFKB1;TCF7L2,0.757575758,0.242424242
15R100_08,100,0.013487508,0.191720971,19,0.272225121,BHLHE40;REST;SMAD3;ZEB1;CEBPD;NEUROD1;KLF4;MYC;NFKB1;SOX11;TCF7L2;ATF2;SOX2;ASCL1;ETS2;POU3F2;CBFA2T2;OVOL2,TEAD4;INSM1;MITF;PAX5;TCF3;FOXA2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;TCF4,ZEB1;NEUROD1;KLF4;INSM1;PAX5;SOX11;TCF3;ATF2;FOXA2;ASCL1;PBX1;FOXA1;LEF1;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;REST;SMAD3;TEAD4;CEBPD;MYC;MITF;NFKB1;TCF7L2;SOX2;ETS2;ELF3;KDM5B,0.606060606,0.393939394
15R100_09,100,0.028191127,0.206376306,18,0.351097226,BHLHE40;REST;TEAD4;KLF4;MYC;MITF;NFKB1;TCF7L2;ELF3,SMAD3;ZEB1;CEBPD;NEUROD1;INSM1;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;REST;SMAD3;ZEB1;TEAD4;CEBPD;NEUROD1;MYC;INSM1;MITF;NFKB1;TCF7L2;ATF2;PBX1;FOXA1,KLF4;PAX5;SOX11;TCF3;SOX2;FOXA2;ASCL1;ETS2;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,0.303030303,0.696969697
15R100_10,100,0.020201447,0.153000955,18,0.351738974,BHLHE40;REST;ZEB1;TEAD4;CEBPD;NEUROD1;KLF4;MYC;INSM1;MITF;NFKB1;SOX11;TCF7L2;ASCL1;PBX1;LEF1;ELF3;KDM5B;TCF12;TCF4,SMAD3;PAX5;TCF3;ATF2;SOX2;FOXA2;ETS2;FOXA1;MYB;FLI1;POU3F2;CBFA2T2;OVOL2,ZEB1;CEBPD;NEUROD1;INSM1;PAX5;SOX11;TCF3;ATF2;SOX2;FOXA2;ASCL1;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;REST;SMAD3;TEAD4;KLF4;MYC;MITF;NFKB1;TCF7L2;ETS2,0.575757576,0.424242424
15R200_01,200,0.017198708,0.100766596,20,0.193936149,BHLHE40;SMAD3;ZEB1;TEAD4;CEBPD;NEUROD1;KLF4;MYC;INSM1;NFKB1;TCF7L2;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;POU3F2;CBFA2T2;OVOL2,REST;MITF;PAX5;SOX11;TCF3;MYB;FLI1;TCF12;TCF4,BHLHE40;REST;ZEB1;TEAD4;CEBPD;NEUROD1;PAX5;NFKB1;SOX11;TCF3;ETS2;KDM5B;TCF12;POU3F2;TCF4,SMAD3;KLF4;MYC;INSM1;MITF;TCF7L2;ATF2;SOX2;FOXA2;ASCL1;PBX1;FOXA1;LEF1;ELF3;MYB;FLI1;CBFA2T2;OVOL2,0.636363636,0.363636364
15R200_02,200,0.018885015,0.156143394,18,0.323086247,BHLHE40;REST;SMAD3;ZEB1;TEAD4;CEBPD;NEUROD1;KLF4;MYC;MITF;NFKB1;SOX11;TCF7L2;SOX2;FOXA2;ETS2;LEF1;KDM5B;FLI1;CBFA2T2;TCF4,INSM1;PAX5;TCF3;ATF2;ASCL1;PBX1;FOXA1;ELF3;MYB;TCF12;POU3F2;OVOL2,BHLHE40;REST;TEAD4;CEBPD;NEUROD1;KLF4;MITF;NFKB1;SOX11;TCF7L2;ASCL1;ETS2;LEF1;OVOL2,SMAD3;ZEB1;MYC;INSM1;PAX5;TCF3;ATF2;SOX2;FOXA2;PBX1;FOXA1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4,0.333333333,0.666666667
15R200_03,200,0.017480232,0.169412697,18.33333333,0.350606732,BHLHE40;SMAD3;ZEB1;TEAD4;CEBPD;MYC;INSM1;MITF;PAX5;NFKB1;SOX11;TCF3;TCF7L2;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;MYB;FLI1;POU3F2;TCF4;OVOL2,REST;NEUROD1;KLF4;LEF1;ELF3;KDM5B;TCF12;CBFA2T2,BHLHE40;SMAD3;ZEB1;TEAD4;MYC;INSM1;MITF;NFKB1;SOX11;TCF3;TCF7L2;SOX2;ASCL1;ETS2;PBX1;ELF3;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,REST;CEBPD;NEUROD1;KLF4;PAX5;ATF2;FOXA2;FOXA1;LEF1;KDM5B,0.242424242,0.757575758
