Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
EMT_0803,8,0.28538649,0.657169721,2,0.863407988,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,1,0
EMT_0804,8,0.15191781,0.377318079,3,0.631654245,GSC;SNAI1;TGFbeta;ZEB1;SNAI2;ZEB2;TWIST2;FOXC2,TWIST1;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;TGFbeta;miR200a;miR200c;miR200b;miR34a;miR141;miR101,SNAI1;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,0.8,0.2
EMT_0805,8,0.346102199,0.771806531,2,0.87005791,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,1,0
EMT_0806,8,0.408867978,0.774676186,1,0.903835736,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,0,1
EMT_0807,8,0.130192315,0.527206232,3,0.72077802,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2,FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,0.066666667,0.933333333
EMT_0808,8,0.259503623,0.776264088,1,0.899497576,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,0,1
EMT_0809,8,0.498730693,0.786011303,1,0.932071695,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,0,1
EMT_0810,8,0.252968902,0.55718645,3,0.793399815,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200c,GSC;miR200a;miR200b;miR34a;miR141;miR101,0.133333333,0.866666667
EMT_1201,12,0.196838977,0.623354139,2,0.810591193,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;FOXC2;miR141,TWIST2;miR200a;miR200c;miR200b;miR34a;miR101,0.133333333,0.866666667
EMT_1202,12,0.026046434,0.362922326,5,0.454535765,GSC;SNAI1;ZEB1;TWIST1;ZEB2;TWIST2,TGFbeta;SNAI2;FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;FOXC2;miR101,TWIST2;miR200a;miR200c;miR200b;miR34a;miR141,0.333333333,0.666666667
EMT_1203,12,0.123743541,0.653443077,3,0.809938699,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200c,miR200a;miR200b;miR34a;miR141;miR101,SNAI1;TGFbeta;ZEB1;SNAI2;ZEB2;TWIST2;FOXC2;miR141,GSC;TWIST1;miR200a;miR200c;miR200b;miR34a;miR101,0.266666667,0.733333333
EMT_1204,12,0.113011769,0.457332404,3,0.79369037,GSC;SNAI1;ZEB1;TWIST1;SNAI2;TWIST2;FOXC2,TGFbeta;ZEB2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2,0.8,0.2
EMT_1205,12,0.133894684,0.407276758,4,0.62652984,GSC;SNAI1;TGFbeta;TWIST1;ZEB2;TWIST2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,ZEB1;SNAI2;FOXC2,GSC;miR200a;miR200c;miR200b;miR34a;miR141;miR101,SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,0.333333333,0.666666667
EMT_1206,12,0.062921139,0.395548456,5,0.506421731,GSC;ZEB1;TWIST1;FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,SNAI1;TGFbeta;SNAI2;ZEB2;TWIST2,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200a;miR34a;miR141,miR200c;miR200b;miR101,0.533333333,0.466666667
EMT_1207,12,0.188585027,0.737722828,2,0.799339623,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200c;miR34a;miR141,miR200a;miR200b;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,0.2,0.8
EMT_1208,12,0.369656111,0.744161908,2,0.86655334,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,0,1
EMT_1209,12,0.168360691,0.613651395,3,0.822423848,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2,FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,TWIST2;miR200a;miR200c;miR200b;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;FOXC2;miR34a,0.8,0.2
EMT_1210,12,0.048067663,0.209422213,5,0.603084942,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;SNAI2;ZEB2;TWIST2;FOXC2;miR200c,TWIST1;miR200a;miR200b;miR34a;miR141;miR101,0.133333333,0.866666667
EMT_1601,16,0.161296306,0.530195811,3,0.795638171,GSC;SNAI1;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,TGFbeta;miR200a;miR200c;miR200b;miR34a;miR141;miR101,TWIST2;FOXC2;miR200a;miR200c;miR200b;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;miR34a,0.733333333,0.266666667
EMT_1602,16,0.136217295,0.601058063,3,0.805529439,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200a;miR101,miR200c;miR200b;miR34a;miR141,0.133333333,0.866666667
EMT_1603,16,0.103956165,0.331853752,4,0.661787287,GSC;SNAI1;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,TGFbeta;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200b,miR200a;miR200c;miR34a;miR141;miR101,0.133333333,0.866666667
EMT_1604,16,0.070791384,0.256862194,6,0.467716598,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;ZEB2;TWIST2;FOXC2,SNAI2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;TWIST2;FOXC2;miR200c,GSC;ZEB2;miR200a;miR200b;miR34a;miR141;miR101,0.266666667,0.733333333
EMT_1605,16,0.124573361,0.433397885,3,0.732774746,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200c,miR200a;miR200b;miR34a;miR141;miR101,0.066666667,0.933333333
EMT_1606,16,0.175779295,0.655287931,3,0.751326765,GSC;SNAI1;TGFbeta;ZEB1;SNAI2;ZEB2;TWIST2;FOXC2,TWIST1;miR200a;miR200c;miR200b;miR34a;miR141;miR101,ZEB2;miR200a;miR200c;miR200b;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;TWIST2;FOXC2;miR34a,0.8,0.2
EMT_1607,16,0.054554337,0.50640973,6,0.586098697,GSC;SNAI1;TGFbeta;ZEB1;SNAI2;TWIST2;FOXC2;miR200a,TWIST1;ZEB2;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,0.2,0.8
EMT_1608,16,0.151746041,0.448506075,4,0.736870639,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200b,miR200a;miR200c;miR34a;miR141;miR101,TWIST2;miR200a;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;FOXC2;miR200c,0.8,0.2
EMT_1609,16,0.12049907,0.615944556,3,0.768227146,GSC;SNAI1;TGFbeta;TWIST1;SNAI2;TWIST2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,ZEB1;ZEB2;FOXC2,TWIST2;miR200a;miR200c;miR200b;miR34a;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;FOXC2;miR141,0.4,0.6
EMT_1610,16,0.03109281,0.335646397,7,0.528047853,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR101,miR200a;miR200c;miR200b;miR34a;miR141,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR101,miR200a;miR200c;miR200b;miR34a;miR141,0,1
EMT_2001,20,0.034797929,0.259901466,7,0.47975272,GSC;SNAI1;TWIST1;SNAI2,TGFbeta;ZEB1;ZEB2;TWIST2;FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,GSC;miR200a;miR200c;miR200b;miR34a;miR141;miR101,0.4,0.6
EMT_2002,20,0.064357325,0.51796829,5,0.510975617,GSC;TWIST1;ZEB2;TWIST2;FOXC2;miR200a;miR200b;miR34a;miR141;miR101,SNAI1;TGFbeta;ZEB1;SNAI2;miR200c,GSC;SNAI1;ZEB1;TWIST1;SNAI2;TWIST2;FOXC2;miR200b;miR141;miR101,TGFbeta;ZEB2;miR200a;miR200c;miR34a,0.4,0.6
EMT_2003,20,0.109404811,0.481530142,4,0.715138132,GSC;SNAI1;ZEB1;TWIST1;SNAI2;TWIST2;FOXC2,TGFbeta;ZEB2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,0.133333333,0.866666667
EMT_2004,20,0.100889536,0.670513723,4,0.698583713,GSC;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR141;miR101,SNAI1;miR200a;miR200c;miR200b;miR34a,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,0.8,0.2
EMT_2005,20,0.019518502,0.36066841,7,0.611776015,GSC;FOXC2;miR200a;miR200b;miR34a;miR141,SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;miR200c;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,0.733333333,0.266666667
EMT_2006,20,0.057255633,0.263976146,5,0.62425159,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;TWIST2;FOXC2;miR200a;miR200b,ZEB2;miR200c;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,0.8,0.2
EMT_2007,20,0.099800891,0.471439385,4,0.595729927,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200a,miR200c;miR200b;miR34a;miR141;miR101,FOXC2;miR200c;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;miR200a;miR200b,0.866666667,0.133333333
EMT_2008,20,0.093875307,0.416397101,4,0.677393929,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200a;miR200c;miR200b;miR141,miR34a;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;miR200c;miR200b,FOXC2;miR200a;miR34a;miR141;miR101,0.2,0.8
