Network,1,2,3
EMT_000,0.013942435457146813,0.014538137578840789,0.013759243289115828
EMT_001,0.15104626218830997,0.15285984006781403,0.15389914464484805
EMT_002,0.14714395756159546,0.14355532073899618,0.14163186470653782
EMT_003,0.12972162489257014,0.1292162419782353,0.13107611027519306
EMT_004,0.20173690820481288,0.20478278655749887,0.2048202029425183
EMT_005,0.20095303289881541,0.20223683361367298,0.20245368947308603
EMT_006,0.17532514824204237,0.17344641826996962,0.17139910797308391
EMT_007,0.15747283194583023,0.16320826748939088,0.1536031302417615
EMT_008,0.14087021863234286,0.14014222010644672,0.14057347335487874
EMT_009,0.20419183181373213,0.2056730216863068,0.20963391931071002
EMT_010,0.17576097543714797,0.17744106302089327,0.17908412286417122
EMT_011,0.2119980872873493,0.21046299344570768,0.20754625908709853
EMT_012,0.17782501198297632,0.1745572729450137,0.17675784136783937
EMT_013,0.17708468356897705,0.17796669270426949,0.17969736973865913
EMT_014,0.21653392707445465,0.22072254185631587,0.2167588131284575
EMT_015,0.17730467788562532,0.1794636705112148,0.1772581450775351
EMT_016,0.12952155114622696,0.13141317121651908,0.12944628569460745
EMT_017,0.15043521067292914,0.15361938175180245,0.15027321436566937
EMT_018,0.19688359212888998,0.20181930356070132,0.1994702232768471
EMT_019,0.170127948251978,0.1744789967896336,0.17630353282528827
EMT_020,0.20272019815073025,0.20601184507581105,0.20635237738048715
EMT_021,0.14878888319627326,0.14909282638065227,0.14646240032007254
EMT_022,0.22277622507657138,0.22255344154389148,0.21846105392322218
EMT_023,0.22132653473212616,0.2221981562362275,0.22186840739135325
EMT_024,0.16170711598476664,0.1618673428238213,0.1632237635920925
EMT_025,0.19342243021517594,0.19551204248366394,0.1901438770373337
EMT_026,0.22187938611429572,0.22542753537028468,0.21929545005605852
EMT_027,0.25309468489655484,0.2531499965497417,0.2557228818599358
EMT_028,0.17682365805665348,0.18124710777102582,0.18017195611962922
EMT_029,0.23307389405273307,0.23361604297092037,0.2378139190450031
EMT_030,0.27881218370012345,0.27428284397845254,0.2773797597997547
EMT_031,0.208104519505325,0.2056270591040259,0.20629212439197925
EMT_032,0.17083976004915083,0.17300157656459336,0.17666765061030923
EMT_033,0.22704325372332682,0.23086564778485602,0.22612447908375324
EMT_034,0.11901245733900229,0.12258933487662442,0.11733077458590604
EMT_035,0.27746421045390846,0.277355062915127,0.27798818661829394
EMT_036,0.20728859788753767,0.21244131639349007,0.20898680374423176
EMT_037,0.15242979218594815,0.14931811063323555,0.15170036363117076
EMT_038,0.17188471887460985,0.1732643138334204,0.1731778580039616
EMT_039,0.25034660099229056,0.2508584943831638,0.25765956137967805
EMT_040,0.1321328402856366,0.1365592930593558,0.1358646664795259
