Network,1,2,3
EMT_000,0.927983634629333,0.926997165537667,0.9281260684058892
EMT_001,0.3903256225262858,0.3954316172629987,0.38892756513963117
EMT_002,0.3955495008483807,0.39969339003416826,0.39824726792685844
EMT_003,0.5636077378160815,0.5644881749810872,0.5636551677384334
EMT_004,0.42332641633830137,0.4201838897463715,0.4198402005608306
EMT_005,0.35849995778893684,0.35652019338608687,0.356235631957588
EMT_006,0.4423225598480578,0.4466294999907574,0.44911072141054026
EMT_007,0.4542535178017517,0.45185878240532695,0.45843671193994295
EMT_008,0.41410170710204025,0.41794881030202224,0.4184641775207259
EMT_009,0.3309746874692251,0.3297634802292703,0.3289543680949382
EMT_010,0.3669492478903651,0.36546651516401607,0.36198177109567026
EMT_011,0.36027531062765517,0.35994108156834903,0.36640573438659885
EMT_012,0.3624239056159838,0.3731055531004337,0.3659318441285041
EMT_013,0.31170698419264586,0.31470271021417884,0.31321694641080394
EMT_014,0.2877255635896354,0.2867676281518048,0.2907105073200612
EMT_015,0.37114259743322847,0.3683719540543307,0.3678373631313726
EMT_016,0.4560905685789801,0.45180827205412,0.45643735305104116
EMT_017,0.4023336116382585,0.39859799318691924,0.39792646636789564
EMT_018,0.4616007762574354,0.4587124930058518,0.4590529395939275
EMT_019,0.32598199460482774,0.327827714371517,0.32216574245334445
EMT_020,0.30641148806749163,0.29766827205908014,0.3031238177763212
EMT_021,0.30481964759230573,0.3051709758819322,0.3052164695384685
EMT_022,0.39412083837358114,0.3934123719481215,0.39678218531021014
EMT_023,0.2850595227134788,0.2872520158963565,0.2882191274835665
EMT_024,0.3794321832305992,0.3777524403618577,0.37415064001831727
EMT_025,0.2859500363301002,0.2837536957589984,0.2917048703562701
EMT_026,0.3131082971476428,0.31014032422310306,0.31401767888304055
EMT_027,0.42608236223496415,0.42719705567063815,0.4244001596781756
EMT_028,0.3130805077895905,0.3056328168496162,0.3074183771786749
EMT_029,0.3218122109802959,0.32165203674263554,0.3210384323896262
EMT_030,0.26741202535008857,0.2658302433387086,0.26235520042001215
EMT_031,0.22308193392392459,0.22287256384262102,0.2159203767685462
EMT_032,0.5220856962721108,0.5232919821417725,0.5158301187592692
EMT_033,0.31170527007892007,0.3086336693656545,0.3087990008716615
EMT_034,0.44990996654035953,0.44870514611440604,0.4461441611318044
EMT_035,0.2702886643402448,0.2696536468347058,0.2676691068278447
EMT_036,0.40897420781014704,0.40168611912588426,0.4063232018161347
EMT_037,0.27685058654895733,0.2772172523586954,0.2754081114791459
EMT_038,0.32802569787558195,0.32388341103471224,0.3256874370177123
EMT_039,0.4103041231038601,0.40921328451629396,0.4031588582517431
EMT_040,0.47350395205065465,0.4665294173394637,0.4700842859163285
EMT_041,0.35593210094239014,0.3565051086803884,0.3626460566178398
EMT_042,0.32494485900607983,0.32719622880534127,0.3221086963631515
EMT_043,0.2864335322279899,0.2904900296909085,0.28962973404964143
EMT_044,0.35451557894563335,0.3594621176394623,0.3605949934788009
EMT_045,0.42705718594032327,0.41807380629264634,0.4252638551129625
EMT_046,0.3002023094425474,0.29473959341589984,0.3014607252082235
EMT_047,0.40371909151856045,0.3968900419997812,0.40225224436391477
EMT_048,0.31839181367628594,0.31830658366605513,0.3197001672018915
EMT_049,0.31399556143244883,0.3223693088989501,0.3153784302224286
EMT_050,0.42702041379710076,0.4278243038556306,0.4268159582414705
EMT_051,0.41941078775941976,0.42032490067871897,0.41834761416896515
EMT_052,0.3795180951644705,0.3700101057921558,0.3754790168155469
EMT_053,0.5958098227397572,0.5988988749185925,0.5991376361179964
EMT_054,0.3875169104813142,0.39048884718201704,0.3944837997610213
EMT_055,0.38318646463635136,0.3743723795546872,0.37946648798858096
EMT_056,0.37421772476116616,0.36796332863544834,0.36889400524166815
EMT_057,0.28313059563443,0.2881353631397093,0.2814169920122723
