Network,1,2,3
EMT_000,0.6252708261088711,0.6252708261088711,0.6252708261088711
EMT_001,0.009055356772090841,0.009055356772090841,0.009055356772090841
EMT_002,0.03393829403631196,0.03393829403631196,0.03393829403631196
EMT_003,0.09830520698452401,0.09830520698452401,0.09830520698452401
EMT_004,0.03848579729300507,0.03848579729300507,0.03848579729300507
EMT_005,0.02611604762724489,0.02611604762724489,0.02611604762724489
EMT_006,0.10599796929172806,0.10599796929172806,0.10599796929172806
EMT_007,0.015437457513572821,0.015437457513572821,0.015437457513572821
EMT_008,0.022751347795565625,0.022751347795565625,0.022751347795565625
EMT_009,0.03328244420781027,0.03328244420781027,0.03328244420781027
EMT_010,0.021524401507173177,0.021524401507173177,0.021524401507173177
EMT_011,0.006988077627443787,0.006988077627443787,0.006988077627443787
EMT_012,0.04025477677122126,0.04025477677122126,0.04025477677122126
EMT_013,0.019587850893053496,0.019587850893053496,0.019587850893053496
EMT_014,0.02065603357437558,0.02065603357437558,0.02065603357437558
EMT_015,0.03989971586942644,0.03989971586942644,0.03989971586942644
EMT_016,0.023596339079952726,0.023596339079952726,0.023596339079952726
EMT_017,0.02339639171474825,0.02339639171474825,0.02339639171474825
EMT_018,0.10218593046422733,0.10218593046422733,0.10218593046422733
EMT_019,0.03248733190038239,0.03248733190038239,0.03248733190038239
EMT_020,0.021329088314548474,0.021329088314548474,0.021329088314548474
EMT_021,0.02317050795501864,0.02317050795501864,0.02317050795501864
EMT_022,0.10781464022429821,0.10781464022429821,0.10781464022429821
EMT_023,0.004923926854699685,0.004923926854699685,0.004923926854699685
EMT_024,0.010100551901718172,0.010100551901718172,0.010100551901718172
EMT_025,0.010070395352461313,0.010070395352461313,0.010070395352461313
EMT_026,0.005772238620860872,0.005772238620860872,0.005772238620860872
EMT_027,0.03891552542137525,0.03891552542137525,0.03891552542137525
EMT_028,0.05326896733730423,0.05326896733730423,0.05326896733730423
EMT_029,0.03514026047163873,0.03514026047163873,0.03514026047163873
EMT_030,0.03092497182501938,0.03092497182501938,0.03092497182501938
EMT_031,0.005618247458752777,0.005618247458752777,0.005618247458752777
EMT_032,0.056529410825780155,0.056529410825780155,0.056529410825780155
EMT_033,0.030757865971218705,0.030757865971218705,0.030757865971218705
EMT_034,0.035662450739863405,0.035662450739863405,0.035662450739863405
EMT_035,0.021892951910312597,0.021892951910312597,0.021892951910312597
EMT_036,0.07620191562157093,0.07620191562157093,0.07620191562157093
