GeneSetID,Genes
Alveolar Fibrotic- Epithelial,HHIP-AS1
Alveolar Fibrotic- Epithelial,HLA-DRB1
Alveolar Fibrotic- Epithelial,HMOX1
Alveolar Fibrotic- Epithelial,HP
Alveolar Fibrotic- Epithelial,HSD17B4
Alveolar Fibrotic- Epithelial,KCNJ15
Alveolar Fibrotic- Epithelial,KCNJ8
Alveolar Fibrotic- Epithelial,LAMP3
Alveolar Fibrotic- Epithelial,LANCL1-AS1
Alveolar Fibrotic- Epithelial,LGALSL
Alveolar Fibrotic- Epithelial,LGMN
Alveolar Fibrotic- Epithelial,LHFPL3-AS2
Alveolar Fibrotic- Epithelial,LPCAT1
Alveolar Fibrotic- Epithelial,LPL
Alveolar Fibrotic- Epithelial,LRRC36
Alveolar Fibrotic- Epithelial,LRRK2
Alveolar Fibrotic- Epithelial,LTA4H
Alveolar Fibrotic- Epithelial,MALL
Alveolar Fibrotic- Epithelial,MED24
Alveolar Fibrotic- Epithelial,MFSD2A
Alveolar Fibrotic- Epithelial,MLPH
Alveolar Fibrotic- Epithelial,MSMO1
Alveolar Fibrotic- Epithelial,MSN
Alveolar Fibrotic- Epithelial,MUC1
Alveolar Fibrotic- Epithelial,NAPSA
Alveolar Fibrotic- Epithelial,NECAB1
Alveolar Fibrotic- Epithelial,NFKBIA
Alveolar Fibrotic- Epithelial,NNMT
Alveolar Fibrotic- Epithelial,NPC2
Alveolar Fibrotic- Epithelial,NRGN
Alveolar Fibrotic- Epithelial,ODC1
Alveolar Fibrotic- Epithelial,ORM1
Alveolar Fibrotic- Epithelial,PARM1
Alveolar Fibrotic- Epithelial,PGC
Alveolar Fibrotic- Epithelial,PID1
Alveolar Fibrotic- Epithelial,PLA2G1B
Alveolar Fibrotic- Epithelial,PLIN2
Alveolar Fibrotic- Epithelial,PPP1R1B
Alveolar Fibrotic- Epithelial,QDPR
Alveolar Fibrotic- Epithelial,RAB27A
Alveolar Fibrotic- Epithelial,RASGRF1
Alveolar Fibrotic- Epithelial,RBPMS-AS1
Alveolar Fibrotic- Epithelial,RGS16
Alveolar Fibrotic- Epithelial,RND1
Alveolar Fibrotic- Epithelial,S100A14
Alveolar Fibrotic- Epithelial,SCD
Alveolar Fibrotic- Epithelial,SDR16C5
Alveolar Fibrotic- Epithelial,SELENBP1
Alveolar Fibrotic- Epithelial,SERPINA1
Alveolar Fibrotic- Epithelial,SERPINB1
Alveolar Fibrotic- Epithelial,SFTPA1
Alveolar Fibrotic- Epithelial,SFTPA2
Alveolar Fibrotic- Epithelial,SFTPB
Alveolar Fibrotic- Epithelial,SFTPC
Alveolar Fibrotic- Epithelial,SFTPD
Alveolar Fibrotic- Epithelial,SLC22A31
Alveolar Fibrotic- Epithelial,SLC34A2
Alveolar Fibrotic- Epithelial,SLC46A2
Alveolar Fibrotic- Epithelial,SLC6A14
Alveolar Fibrotic- Epithelial,SMAGP
Alveolar Fibrotic- Epithelial,SNX25
Alveolar Fibrotic- Epithelial,SNX30
Alveolar Fibrotic- Epithelial,SOCS2
Alveolar Fibrotic- Epithelial,SOD2
Alveolar Fibrotic- Epithelial,SPRY4
Alveolar Fibrotic- Epithelial,STC1
Alveolar Fibrotic- Epithelial,STEAP4
Alveolar Fibrotic- Epithelial,TFPI
Alveolar Fibrotic- Epithelial,TIFA
Alveolar Fibrotic- Epithelial,TMEM163
Alveolar Fibrotic- Epithelial,TMEM243
Alveolar Fibrotic- Epithelial,TPD52L1
Alveolar Fibrotic- Epithelial,TTN
Alveolar Fibrotic- Epithelial,WIF1
Alveolar Fibrotic- Epithelial,ZDHHC3
Alveolar Fibrotic- Epithelial,ZNF385B
FUGUE,SFTPB
FUGUE,SFTPA1
FUGUE,SFTPA2
FUGUE,NFKBIA
FUGUE,TPSAB1
FUGUE,SLC34A2
FUGUE,GPC3
FUGUE,RASSF1
FUGUE,TPSB2
FUGUE,DNM2
FUGUE,HEXB
FUGUE,BMPR2
FUGUE,CD4
FUGUE,PRKCE
FUGUE,IRF1
FUGUE,ALPP
FUGUE,SFTPC
FUGUE,SCGB3A2
FUGUE,NOTCH1
FUGUE,STAT3
FUGUE,HLA-A
FUGUE,CFAP52
FUGUE,TAP2
FUGUE,NFKB1
FUGUE,ETS1
FUGUE,FOXF1
FUGUE,NME9
FUGUE,LARP7
FUGUE,MSLN
FUGUE,HSD11B1
FUGUE,ACVRL1
FUGUE,TNFRSF1A
FUGUE,TGFBR2
FUGUE,NTRK1
FUGUE,PARK2
FUGUE,CD69
FUGUE,TAL1
FUGUE,TEK
FUGUE,MAP3K8
FUGUE,CTSD
FUGUE,IKBKB
