Network,1,2,3
03R000_00,0.17990380503696435,0.17914137117794277,0.18012255151149875
03R010_01,0.21580466493447567,0.21796062839490588,0.21232742916788855
03R010_02,0.1175121717237391,0.11649542687705967,0.11851656459494957
03R010_03,0.12415058777256044,0.1267398101182209,0.12299284011904653
03R010_04,0.195168203081032,0.19400292622547094,0.1957287578582928
03R010_05,0.20639221487456275,0.20822628378373503,0.20947862147244733
03R010_06,0.21979619152459784,0.22346799869783493,0.21992041721743136
03R010_07,0.21499083817498574,0.21223735934208318,0.21177310487278891
03R010_08,0.2379818140473978,0.23298145915875929,0.2307844895516688
03R010_09,0.24694200001669792,0.24885363462485532,0.24742937042230767
03R010_10,0.15924855992945355,0.1557398298493685,0.1568996926755931
03R020_01,0.1920033213453936,0.19628354194059494,0.1912400085738618
03R020_02,0.2131470681171673,0.21731726232046703,0.2147596580083372
03R020_03,0.24135777143020043,0.24354851918487425,0.24511022372520347
03R020_04,0.09976904311394676,0.09989336590291735,0.10162114641629418
03R020_05,0.20573242611226164,0.20428382610784684,0.19981493505926257
03R020_06,0.13050386012550613,0.12654597803039508,0.12574763308909848
03R020_07,0.16841734855895868,0.1720211987376248,0.17170754625689755
03R020_08,0.23610188642414634,0.24713057313446282,0.23799174749788998
03R020_09,0.27790762741664854,0.28076032475578017,0.2781698200914087
03R020_10,0.3279118326026861,0.3255054089905206,0.32883761262615563
03R030_01,0.2977451550871252,0.2966987347161249,0.3008647504120843
03R030_02,0.16728230580061204,0.1653596829643085,0.16572364936021125
03R030_03,0.19041259369994132,0.19907801698838987,0.1958039003000763
03R030_04,0.21112410070462798,0.2094345267111503,0.2133777766549112
03R030_05,0.23743187784126213,0.24198850942213881,0.23794445908279746
03R030_06,0.13301525876289125,0.1335219513044143,0.1341962342873927
03R030_07,0.20663202563445876,0.20871378622716988,0.20824651852541332
03R030_08,0.13799624438624622,0.1394218217585244,0.14034902032170976
03R030_09,0.17402028754818627,0.1792833716355192,0.17763028350378204
03R030_10,0.19482253890216722,0.19298435502926564,0.19389806337246557
03R040_01,0.1818591112159635,0.1820990495048766,0.18840150200564387
03R040_02,0.21228101103311886,0.21407521171812133,0.21633958671949446
03R040_03,0.21513206190113146,0.2118021143569923,0.21482969356648166
03R040_04,0.1563837762142124,0.15895776258641023,0.1556299950534431
03R040_05,0.19910317781407874,0.20580167523009718,0.1991097321277816
03R040_06,0.18985416074300238,0.19286731246178204,0.18843041602323038
03R040_07,0.13365162596371447,0.129818462293628,0.13047070794729712
03R040_08,0.13308569443791043,0.1299701579765965,0.13581644596871945
03R040_09,0.0890131523178578,0.08727225019358653,0.09170781514359055
03R040_10,0.27137403384618025,0.26884775579084136,0.26503341339867015
03R050_01,0.17629245199789625,0.1792597858144612,0.18365565828707897
03R050_02,0.13592843651638137,0.13778920811553674,0.13946777616185033
03R050_03,0.12966977717932207,0.13556444959295527,0.13406657436019284
03R050_04,0.15332281974902406,0.1515812448437646,0.15577744784053313
03R050_05,0.16851065738519413,0.16896819462334045,0.16907322985297724
03R050_06,0.16998480640411767,0.16214410206029917,0.1700688155626299
03R050_07,0.2203004380990115,0.2212130580373791,0.21834767363195146
03R050_08,0.15475552248672508,0.15809764501413456,0.15553940564030186
03R050_09,0.15264086233646204,0.15082827927095127,0.15049808298453676
03R050_10,0.18045224359057538,0.18623102841250844,0.18119352002895814
03R060_01,0.20837726156910555,0.20967711656605148,0.214477100193507
03R060_02,0.1850149652337164,0.18416017521789618,0.1849487632052116
03R060_03,0.1548506884628858,0.1583287267525677,0.15283971976178415
03R060_04,0.1514328623500269,0.1523384348268063,0.15268602437115253
03R060_05,0.2271792599294528,0.2281481449134064,0.22480438174891978
03R060_06,0.2133192733043188,0.21021033016266272,0.21232270829613967
03R060_07,0.2107313616584244,0.20674238621011864,0.2033760661235473
03R060_08,0.32935313632253277,0.3332588793714861,0.32662872517294755
03R060_09,0.16620621502534003,0.1764097305964803,0.17211002706326065
03R060_10,0.22949773835893963,0.23234291951459576,0.22894677948295214
03R070_01,0.20737063310354759,0.2023598218668002,0.20762593890220613
03R070_02,0.1799449735882174,0.18260107258888544,0.18502215376397396
03R070_03,0.22325916763044243,0.22511655799346184,0.22455150136080174
03R070_04,0.2599424482565387,0.26160260408242436,0.26085431787459074
03R070_05,0.2774807422964201,0.27214110255509644,0.27639547005280135
03R070_06,0.20751975712240042,0.20824856287268256,0.205689954526396
03R070_07,0.18799560121375125,0.1921915298844768,0.18708115910297532
03R070_08,0.25041680811090955,0.2532810851399157,0.2486283986910313
03R070_09,0.14746249303891554,0.14673051939515952,0.15339944648833267
03R070_10,0.17219155740250347,0.16807566684295452,0.16904486364518606
03R080_01,0.22341067761056985,0.2261335793174438,0.22449633803528088
03R080_02,0.22673425196609343,0.22962471913439644,0.22176597532921805
03R080_03,0.21958020594523567,0.218387724408011,0.2189482729011143
03R080_04,0.23726847430540535,0.2347445933577744,0.2345246961227026
03R080_05,0.2611921814829404,0.2588546089432063,0.26117210563784926
03R080_06,0.16111282212868772,0.15986375396200367,0.1622303429982975
03R080_07,0.3165050020398155,0.30810581298796175,0.3142910672037616
03R080_08,0.18042099945039633,0.1799329459842154,0.180551860217155
03R080_09,0.2511252298918125,0.24986320666506995,0.25093934292357317
03R080_10,0.2194580927458671,0.2180511854844638,0.2226294589181133
03R090_01,0.18130745204230675,0.1759132202950372,0.17891496310552482
03R090_02,0.17781548340858222,0.18292730254659734,0.1754884921664145
03R090_03,0.19700168729150422,0.19624211518038753,0.19951031719035908
03R090_04,0.20528217528694934,0.20431969180973497,0.2035616454969037
03R090_05,0.17100924533737047,0.16756424653494595,0.1677564166009288
03R090_06,0.16358832855445088,0.1609898685591752,0.15820061476493294
03R090_07,0.11259404679764412,0.11089327646460938,0.11255313627905945
03R090_08,0.11617934415586341,0.11412695027794928,0.1140832920754558
03R090_09,0.1688156840676889,0.16738676501021338,0.17477458146567262
03R090_10,0.15239134381472758,0.14678265662349987,0.14592909397933596
03R100_01,0.2168224957295772,0.21500025814770593,0.21372965382280262
03R100_02,0.17835138241584772,0.17813636269705543,0.1742643554032093
03R100_03,0.18599445581224303,0.190649644471528,0.18619438220441145
03R100_04,0.2051126837442618,0.20400804172928155,0.2007429952574746
03R100_05,0.1355162356737693,0.1413492607565655,0.14006923186579168
03R100_06,0.17253009909530775,0.17370401085848228,0.17908511550547343
03R100_07,0.3190285140279814,0.3192190031482559,0.3146202586314967
03R100_08,0.18284937039719618,0.1835178795595949,0.18654070374702608
03R100_09,0.17040745862043594,0.17376363776153414,0.1731691347007699
03R100_10,0.09037166720782837,0.09066026873132295,0.09062244571386811
04R000_00,0.14797245247181298,0.14607510699717313,0.14479160203313893
04R010_01,0.13371638041662154,0.13707850699480542,0.1343580598203832
04R010_02,0.23049678694434073,0.22409271690742041,0.2331403938195163
04R010_03,0.15523840639009975,0.1536573249951901,0.15617667304315147
04R010_04,0.19762839178521038,0.1942488711441345,0.19976251279694016
04R010_05,0.1535129401121506,0.15040490762414804,0.15407975369408378
04R010_06,0.15512172730149618,0.15561070258258985,0.1550938608926007
04R010_07,0.17134309173130335,0.16469895792814218,0.16733783464924074
04R010_08,0.2588602085544868,0.26439679889454326,0.2586031872550919
04R010_09,0.12069138364251197,0.11949220483641658,0.11843113106788268
04R010_10,0.24811675817003606,0.25152862757088457,0.25319129697070786
04R020_01,0.12171723295293439,0.12129756971151343,0.12242429286872031
04R020_02,0.24223995818693944,0.24150336867557598,0.24392858700567643
04R020_03,0.12211616384948198,0.12212624391485655,0.1228767364850119
04R020_04,0.1708308919377742,0.16979700893917252,0.17412418304191993
04R020_05,0.23935847366936286,0.24113808725014088,0.23732386291936056
04R020_06,0.16386338994847982,0.16857656989986042,0.16614330138912742
04R020_07,0.2322297065760446,0.23422293444161935,0.2366834966282949
04R020_08,0.20980313557266855,0.20429323078236297,0.20246413405295907
04R020_09,0.1712434384728805,0.17225012608349882,0.1724816483875849
04R020_10,0.17964257011132584,0.1793977180708919,0.17725991416765965
04R030_01,0.15329476221420021,0.15569592390816822,0.15224023973090983
04R030_02,0.21064699888349891,0.21533858561559827,0.214398044260217
04R030_03,0.12183776743463892,0.1237971205048167,0.11861950206958319
04R030_04,0.13508215563727885,0.13468267582691257,0.13667052793242387
04R030_05,0.17637990460755418,0.17936084741271605,0.18008729189736963
04R030_06,0.19149124830824898,0.1885226986381305,0.19169278910615298
04R030_07,0.14604823483673635,0.14531731611554646,0.1474784265479963
04R030_08,0.21165714418007653,0.2133993238020323,0.21525874652238491
04R030_09,0.1710940708249054,0.1705801932267433,0.17282541855550995
