0.00-0.05,0.05-0.10,0.10-0.20,0.20-0.25,0.25-0.30,0.30-0.35
19.0,18.0,8.0,1.0,1.0,1.0
20.0,10.66666667,2.0,3.0,1.0,1.0
22.0,15.66666667,4.0,2.0,1.0,1.0
18.0,15.0,10.0,4.0,1.0,1.0
22.0,16.0,6.0,2.0,2.0,1.0
21.0,17.66666667,14.0,6.0,1.0,1.0
19.0,18.0,12.0,2.0,2.0,1.0
18.0,11.0,11.0,4.0,1.0,1.0
19.0,19.0,9.0,2.0,1.0,1.0
20.0,18.0,5.0,2.0,2.0,1.0
