0.00-0.05,0.05-0.10,0.10-0.20,0.20-0.30,0.30-0.40,0.40-0.70
9.0,7.0,4.666666667,4.0,4.0,3.0
8.0,8.0,6.0,5.0,3.0,1.0
9.0,9.0,3.0,4.0,3.0,2.0
8.333333333,8.0,6.0,4.333333333,4.0,2.0
8.0,9.0,5.0,5.0,4.0,3.0
7.0,7.0,5.0,3.0,3.0,2.0
5.0,8.0,4.0,4.0,3.0,2.0
