Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,PC1 Variance,Number of PCs,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
30R060_04,60,0.013526923,0.268231424,0.417063707,7.0,ZEB2;TWIST2;miR200a;SNAI1;TGFbeta;SNAI2,miR101;GSC;FOXC2;ZEB1;miR200c;TWIST1;miR141;miR200b;miR34a,GSC;FOXC2;TWIST2;miR200c;TWIST1;miR141;SNAI1;miR200b;miR34a;SNAI2,ZEB2;miR101;ZEB1;miR200a;TGFbeta,0.6666666666666666,0.3333333333333333
30R060_05,60,0.024898026,0.280216648,0.475648535,7.0,ZEB2;GSC;FOXC2;ZEB1;TWIST2;TWIST1;SNAI1;miR200b;TGFbeta;miR34a;SNAI2,miR101;miR200c;miR141;miR200a,ZEB2;FOXC2;TWIST1;SNAI1;miR34a;SNAI2,miR101;GSC;ZEB1;TWIST2;miR200c;miR141;miR200a;miR200b;TGFbeta,0.3333333333333333,0.6666666666666666
30R060_06,60,0.027180672,0.28108246,0.391751274,7.0,ZEB2;miR101;GSC;ZEB1;SNAI1;TGFbeta,FOXC2;TWIST2;miR200c;TWIST1;miR141;miR200a;miR200b;miR34a;SNAI2,ZEB2;TWIST2;miR200c;miR34a;SNAI2,miR101;GSC;FOXC2;ZEB1;TWIST1;miR141;miR200a;SNAI1;miR200b;TGFbeta,0.6,0.4
30R060_07,60,0.032408775,0.304226065,0.364012807,8.0,ZEB2,miR101;GSC;FOXC2;ZEB1;TWIST2;miR200c;TWIST1;miR141;miR200a;SNAI1;miR200b;TGFbeta;miR34a;SNAI2,ZEB2;GSC;FOXC2;ZEB1;TWIST2;TWIST1;miR34a,miR101;miR200c;miR141;miR200a;SNAI1;miR200b;TGFbeta;SNAI2,0.4,0.6
30R060_08,60,0.04346936,0.341686495,0.431258476,7.0,ZEB2;miR101;GSC;FOXC2;ZEB1;TWIST2;miR200c;TWIST1;SNAI1;miR200b;miR34a,miR141;miR200a;TGFbeta;SNAI2,ZEB2;miR101;ZEB1;miR141;miR200a;SNAI1;TGFbeta;miR34a;SNAI2,GSC;FOXC2;TWIST2;miR200c;TWIST1;miR200b,0.6666666666666666,0.3333333333333333
30R060_09,60,0.017099228,0.186036281,0.384064899,7.0,ZEB2;GSC;ZEB1;TWIST2;TWIST1;miR200a;SNAI1;SNAI2,miR101;FOXC2;miR200c;miR141;miR200b;TGFbeta;miR34a,miR101;GSC;TWIST2;miR200c;miR141;TGFbeta;SNAI2,ZEB2;FOXC2;ZEB1;TWIST1;miR200a;SNAI1;miR200b;miR34a,0.6,0.4
30R060_10,60,0.034858885,0.344622793,0.507619445,6.0,ZEB2;GSC;ZEB1;TWIST1,miR101;FOXC2;TWIST2;miR200c;miR141;miR200a;SNAI1;miR200b;TGFbeta;miR34a;SNAI2,miR101;miR141;miR200a;miR200b;miR34a,ZEB2;GSC;FOXC2;ZEB1;TWIST2;miR200c;TWIST1;SNAI1;TGFbeta;SNAI2,0.6,0.4
30R070_01,70,0.060580607,0.338238911,0.505932458,5.0,ZEB2;miR101;GSC;TWIST2;miR141;miR200a;TGFbeta;miR34a;SNAI2,FOXC2;ZEB1;miR200c;TWIST1;SNAI1;miR200b,GSC;ZEB1;miR200c;miR200b;SNAI2,ZEB2;miR101;FOXC2;TWIST2;TWIST1;miR141;miR200a;SNAI1;TGFbeta;miR34a,0.6666666666666666,0.3333333333333333
30R070_02,70,0.064473458,0.368917728,0.526619596,5.0,ZEB2;miR101;GSC;FOXC2;miR200c;TWIST1;miR200a;miR34a;SNAI2,ZEB1;TWIST2;miR141;SNAI1;miR200b;TGFbeta,miR101;ZEB1;TWIST2;miR200c;miR141;SNAI1;TGFbeta;SNAI2,ZEB2;GSC;FOXC2;TWIST1;miR200a;miR200b;miR34a,0.7333333333333333,0.2666666666666666
30R070_03,70,0.025053358,0.324032904,0.345522569,7.0,ZEB2;FOXC2;ZEB1;TWIST2;TWIST1;miR141;SNAI1;miR200b;TGFbeta;miR34a,miR101;GSC;miR200c;miR200a;SNAI2,miR101;ZEB1;miR200c;miR141;miR200a;miR200b;SNAI2,ZEB2;GSC;FOXC2;TWIST2;TWIST1;SNAI1;TGFbeta;miR34a,0.7333333333333333,0.2666666666666666
30R070_04,70,0.035512948,0.449222831,0.497833087,5.0,ZEB2;miR101;GSC;ZEB1;TWIST2;TWIST1;miR200a;SNAI1;miR200b;TGFbeta;SNAI2,FOXC2;miR200c;miR141;miR34a,miR101;GSC;FOXC2;miR200c;miR141;miR200b,ZEB2;ZEB1;TWIST2;TWIST1;miR200a;SNAI1;TGFbeta;miR34a;SNAI2,0.7333333333333333,0.2666666666666666
